COC,CAS,type,m_mol,D_a,D_w,Log_Koc_Kd,,logKd_pH,logKd_pH_sat,H,,p_vap,C_sol,pKa,pKb,RfD_oral,RfD_dermal,RfC_inhal,SF_oral,SF_dermal,URF_inhal,is_carcinogenic,MCL,TWA,AQL,BCF,,,,,,,,lamda_s,lambda_w,lambda_s_unsat
TPH - Aliph >C05-C06,0,T,81,0.1,0.00001,2.9,Koc,0,0,0.7875,32.47711492,266,36,-,-,5,-,18.4,-,-,-,FALSE,-,-,-,1,0.5,-,-,-,-,-,-,-,-,-
TPH - Aliph >C06-C08,0,T,100,0.1,0.00001,3.6,Koc,0,0,1.166666667,48.11424433,47.88,5.4,-,-,5,-,18.4,-,-,-,FALSE,-,-,-,1,0.5,-,-,-,-,-,-,-,-,-
TPH - Aliph >C08-C10,0,T,130,0.1,0.00001,4.5,Koc,0,0,1.904651163,78.54930121,4.788,0.43,-,-,0.1,-,1,-,-,-,FALSE,-,-,-,1,0.5,-,-,-,-,-,-,-,-,-
"Nitrosodimethylamine, n-",62759,N,74.08,0.133926,0.00000972,-0.46,Koc,0,0,0.00000078,3.21678E-005,8,999730.0945,-,-,-,-,-,51,63.75,0.015,TRUE,-,-,-,1,0,-,-,-,-,-,0.01,-,360,360
Benzoic acid,65850,O,122.13,0.0536,0.00000797,1.83,Koc,0,0,0.000000182,7.50582E-006,0.00704,62159.86119,-,-,4,4,-,-,-,-,FALSE,-,-,-,1,0.5,0.0073,0.49,1.2,0.0074,0.028998232,0.05,3.3,-,-
Methanol,67561,O,32,0.15,0.0000164,-0.69,Koc,0,0,0.0000027,0.00011135,114,1000000,-,-,0.5,0.4,-,-,-,-,FALSE,-,260,-,1,0.5,0.00035,0.14,0.33,0.000017,0.001147985,-,-,7,7
Acetone,67641,O,58.08,0.124,0.0000114,-0.23564,Koc,0,0,0.000025,0.00103102,266,1000000,-,-,0.1,0.083,-,-,-,-,FALSE,-,590,-,1,0.5,-,-,-,-,-,0.1,0.1,14,14
Chloroform,67663,C,119.4,0.104,0.00001,1.93,Koc,0,0,0.00339,0.139806247,208,9639.496973,-,-,0.01,-,0.0003,0.0061,0.0305,0.000023,TRUE,0.1,9.78,-,1,0.5,0.0089,0.47,1.1,0.0093,0.034974152,0.0005,0.005,1800,1800
"Butanol, n-",71363,O,74.12,0.08,0.0000093,0.74,Koc,0,0,0.0000089,0.000367043,7.024,77000,-,-,0.1,0.08,-,-,-,-,FALSE,-,150,-,1,0.5,0.0019,0.25,0.59,0.00045,0.006648291,-,-,54,54
Benzene,71432,A,78.1,0.088,0.0000098,1.77,Koc,0,0,0.00555,0.228886334,95.2,1750,-,-,0.003,-,0.00595,0.029,0.029896907,8.28571E-006,TRUE,0.005,3.25,-,12.6,0.5,0.021,0.26,0.63,0.013,0.073391787,0.002,0.005,720,720
"Trichloroethane, 1,1,1-",71556,C,133.4,0.078,0.0000088,2.45,Koc,0,0,0.0172,0.709341431,123,1255.217258,-,-,0.02,0.018,1.000000001,-,-,-,FALSE,0.2,1900,-,9,0.5,0.017,0.57,1.4,0.031,0.070011969,0.005,0.005,546,546
Chloromethane,74873,C,51,0.127598155,0.000167606,7.017684586,Koc,0,0,0.00882,0.363743687,3800,0.004,-,-,-,-,0.022,0.013,0.01625,0.0000017,TRUE,-,103,-,1,0.5,0.0042,0.18,0.43,0.00081,0.01410425,0.001,0.01,56,56
Chloroethane,75003,C,64.52,0.150479,0.0000118,1.25,Koc,0,0,0.0051,0.210327982,1199.688,19970.03864,-,-,0.4,0.32,10,2.9,-,-,FALSE,-,2600,-,6,0.5,0.008,0.22,0.52,0.0027,0.027474331,0.005,0.01,56,56
Vinyl chloride,75014,C,62.5,0.106,0.0000123,1.7,Koc,0,0,0.086,3.546707154,2660,2543.604651,-,-,-,-,-,1.9,1.9,8.57143E-005,TRUE,0.002,13,-,1,0.5,0.0073,0.21,0.51,0.0023,0.024929817,0.002,0.01,2875,2875
Acetonitrile,75058,A,41.03,0.128,0.0000166,-0.33,Koc,0,0,0.0000058,0.000239197,90,837726.8603,-,-,0.006,0.0048,0.049999999,-,-,-,FALSE,-,34,-,1,0.5,-,-,-,-,-,0.1,0.1,360,360
Methylene chloride,75092,C,85,0.101,0.0000117,1.07,Koc,0,0,0.00219,0.09031731,438,13000,-,-,0.06,-,3,0.0075,0.007894737,0.000000457,TRUE,0.005,1740,-,1,0.5,0.0045,0.29,0.69,0.0018,0.016095123,0.005,0.005,56,56
Carbon disulfide,75150,O,76.1,0.104,0.00001,1.66,Koc,0,0,0.0303,1.24959566,366,1190,-,-,0.1,0.063,0.7,-,-,-,FALSE,-,62,-,1,0.5,0.024,0.27,0.65,0.017,0.084189735,0.005,0.1,-,-
Bromoform,75252,O,252.77,0.0141,0.0000103,2.26,Koc,0,0,0.000584,0.024084616,5.6,3190,-,-,0.02,-,0.014,0.00793,0.013216667,0.0000011,TRUE,0.1,5,-,1,0.5,0.0026,3,7.3,0.023,0.021558835,0.002,0.005,360,360
Bromodichloromethane,75274,C,163.8,0.0298,0.0000106,1.85,Koc,0,0,0.205,8.454360075,59.2,62.23979461,-,-,0.02,-,-,0.062,0.063265306,-,TRUE,0.1,-,-,1,0.5,0.0058,0.87,2.1,0.012,0.027525012,0.001,0.005,-,-
"Dichloroethane, 1,1-",75343,C,98.96,0.0742,0.0000105,1.76,Koc,0,0,0.0154,0.635108025,591,5500,-,-,0.03,0.03,0.005,-,-,-,FALSE,-,400,-,1,0.5,0.0089,0.35,0.84,0.0062,0.032842256,0.001,0.005,360,360
Trichlorofluoromethane,75694,C,137.4,0.087,0.0000097,2.49,Koc,0,0,0.0583,2.404337524,796,2468.412025,-,-,0.3,0.069,0.7,-,-,-,FALSE,-,5600,-,1,0.5,0.017,0.6,1.4,0.034,0.071064603,0.005,-,720,720
Dichlorodifluoromethane,75718,C,120.92,0.052,0.0000105,2.12,Koc,0,0,0.401,16.53755312,5000,1983.856149,-,-,0.2,0.046,0.2,-,-,-,FALSE,-,4950,-,1,0.5,0.012,0.48,1.1,0.014,0.047341065,0.005,-,360,360
Methyl ethyl ketone,78933,O,72.1,0.0808,0.0000098,0.3,Koc,0,0,0.00013,0.005361302,100,320000,-,-,0.6,0.48,1.01,-,-,-,FALSE,-,590,-,1,0.5,0.0011,0.24,0.58,0.00019,0.003827574,0.01,-,14,14
"Trichloroethane, 1,1,2-",79005,C,133.4,0.078,0.0000088,0,Koc,0,0,0.00074,0.030518178,25,5929.943101,-,-,0.004,-,0.2,0.057,0.07037037,0.000016,TRUE,0.005,45,-,1,0.5,0.0084,0.57,1.4,0.011,0.034710196,0.0005,0.005,730,730
Trichloroethene,79016,C,131.4,0.081831949,0.000104535,2.1,Koc,0,0,0.010027895,0.41355822,58,1000,-,-,0.006,-,0.021,0.011,0.073333333,1.71429E-006,TRUE,0.005,269,-,39,0.5,0.016,0.55,1.3,0.026,0.065275634,0.001,0.005,1653,1653
Acrylamide,79061,N,71.09,0.097,0.0000106,0.79,Koc,0,0,5.2E-009,2.14452E-007,0.012,2150,-,-,0.0002,-,0.0074,4.5,9,0.0013,TRUE,-,0.03,-,1,0,0.00024,0.24,0.57,0.000021,0.00072,-,-,-,-
"Tetrachloroethane, 1,1,2,2-",79345,C,168,0.071,0.0000079,0,Koc,0,0,0.002,0.082481562,6.5,718.4210526,-,-,0.06,-,0.7,0.2,0.285714286,0.000058,TRUE,-,7,-,8,0.5,0.009,0.92,2.2,0.025,0.043709268,0.0005,0.005,45,45
Acenaphthene,83329,PAH,154.21,0.0421,0.00000769,3.85,Koc,0,0,0.00771,0.31796642,0.005,3.93,-,-,0.06,0.0534,-,-,-,-,FALSE,-,-,-,384,0.05,-,-,-,-,-,0.01,0.66,204,204
"Phthalate, Di-ethyl",84662,O,222.2,0.0256,0.00000635,2.46,Koc,0,0,0.00000045,1.85584E-005,0.00166,1080,-,-,0.8,0.72,2.8,-,-,-,FALSE,-,5,-,117,0.5,-,-,-,-,-,0.01,0.66,112,112
"Phthalate, Di-n-butyl",84742,O,278.336,0.0438,0.00000786,4.53,Koc,0,0,9.38E-010,3.86839E-008,0.0001,11.2,-,-,0.1,0.08,0.35,-,-,-,FALSE,-,5,-,1,0.5,-,-,-,-,-,0.01,0.66,23,23
"Phthalate, butylbenzyl-",85687,O,312.4,0.043690626,4.93237E-005,4.78,Koc,0,0,1.21898E-005,0.000502717,0.0000086,2.9,-,-,0.2,0.122,-,-,-,-,FALSE,-,-,-,21,0.5,-,-,-,-,-,0.01,0.66,180,180
Phenanthrene,85018,PAH,178.22,0.0333,0.00000747,4.15,Koc,0,0,0.00605,0.249506724,0.00021,1.6,-,-,0.03,0.0267,-,-,-,-,FALSE,-,-,-,2630,0.05,0.23,1.1,5.6,2.9,1.154823174,0.01,0.66,400,400
Fluorene,86737,PAH,166,0.036345,0.00000788,3.86,Koc,0,0,0.000117,0.004825171,0.017,1.69,-,-,0.04,0.0356,-,-,-,-,FALSE,-,-,-,1300,0.05,-,-,-,-,-,0.01,0.66,120,120
Pentachlorophenol,87865,AP,266.34,0.056,0.0000061,2.96,Koc,0,0,0.000002,8.24816E-005,0.000017,14,-,-,0.03,-,-,0.12,0.157894737,-,TRUE,0.001,0.5,0.02,770,0,-,-,-,-,-,0.05,3.3,1520,1520
Naphthalene,91203,PAH,128.2,0.059,0.0000075,3.3,Koc,0,0,0.000483,0.019919297,0.23,31,-,-,0.4,0.356,1.4,-,-,-,FALSE,-,50,-,430,0.05,0.069,0.53,2.2,0.2,0.27002,0.01,0.01,258,258
Cresol (-o),95487,AP,108.1,0.074,0.0000083,1.95,Koc,0,0,0.0000026,0.000107226,0.24,13129.55466,-,-,0.05,0.025,-,-,-,-,FALSE,-,10,-,1,0.5,0.01,0.4,0.96,0.0089,0.037876499,0.01,0.66,14,14
"Xylene, o-",95476,A,106.2,0.087,0.00001,2.11,Koc,0,0,0.00527,0.217338915,7,175,-,-,2,1.6,0.7,-,-,-,FALSE,10,435,-,1,0.5,-,-,-,-,-,0.005,0.005,360,360
"Dichlorobenzene (1,2) (-o)",95501,AC,147,0.069,0.0000079,3.32,Koc,0,0,0.00194,0.080007115,1.5,149.5523603,-,-,0.09,0.072,0.03,-,-,-,FALSE,0.6,150,-,89,0.5,0.061,0.69,3.2,0.24,0.242574806,0.01,0.66,360,360
"Chlorophenol, 2-",95578,C,128.6,0.0501,0.00000946,2.59,Koc,0,0,0.000391,0.015730025,1.4,22000,8.4,-,0.005,0.004,0.0175,-,-,-,FALSE,-,-,-,214,0.5,0.011,0.53,1.3,0.014,0.044526351,0.01,0.66,-,-
Cumene,98828,A,120.2,0.065,0.0000071,0,Koc,0,0,0.0146,0.6021154,4.6,49.83056957,-,-,0.1,0.08,0.4,-,-,-,FALSE,-,245,-,1,0.5,-,-,-,-,-,-,-,16,16
Ethylbenzene,100414,A,106.2,0.075,0.0000078,2.56,Koc,0,0,0.00788,0.324977353,10,169,-,-,0.1,0.097,1.000000001,-,-,-,FALSE,0.7,435,-,1,0.5,0.074,0.39,1.3,0.14,0.266633684,0.002,0.005,228,228
Styrene,100425,A,104.2,0.071,0.000008,3.10656,Koc,0,0,0.00261,0.107638438,7.3,18.64146329,-,-,0.2,0.16,1.001,-,-,-,FALSE,0.1,213,-,1,0.5,0.055,0.38,0.91,0.089,0.200147475,0.001,0.005,210,210
"Dimethylphenol, 2,4-",105679,O,122.16,0.069970261,8.34332E-005,3.394935098,Koc,0,0,0.000921,0.037982759,0.0573,10,-,-,0.02,0.01,-,-,-,-,FALSE,-,-,-,150,0.5,0.015,0.49,1.2,0.02,0.059394118,0.005,0.66,14,14
Cresol (-p),106445,AP,108.1,0.074,0.00001,1.91,Koc,0,0,0.000000443,1.82697E-005,0.11,35318.40323,-,-,0.005,0.00325,-,-,-,-,FALSE,-,10,-,1,0.5,0.01,0.4,0.96,0.0087,0.037879251,0.01,0.66,28,28
"Dichlorobenzene, (1,4) (-p)",106467,AC,147,0.069,0.0000079,3.33,Koc,0,0,0.0016,0.065985249,1.2,145.0657895,-,-,0.03,-,0.800000002,0.024,0.026666667,0.0000063,TRUE,0.075,450,-,215,0.5,0.062,0.69,3.3,0.25,0.246551442,0.01,0.66,360,360
"Dichloroethane, 1,2-",107062,C,99,0.104,0.0000099,1.76,Koc,0,0,0.0012,0.049488937,80,8690,-,-,-,-,0.01001,0.091,0.091,0.000026,TRUE,0.005,4,-,2,0.5,0.0053,0.35,0.84,0.003,0.019584636,0.0005,0.005,360,360
Ethylene glycol,107211,O,62.07,0.108,0.0000122,-0.9,Koc,0,0,0.000000103,4.2478E-006,0.126,1000000,-,-,2,1,-,-,-,-,FALSE,-,-,-,1,0.5,-,-,-,-,-,-,-,24,24
"Methyl-2-pentanone, 4-",108101,O,100.2,0.073529101,8.67742E-005,-0.100742549,Koc,0,0,0.000416343,0.01717031,6,19000,-,-,0.08,0.064,0.07,-,-,-,FALSE,-,205,-,1,0.5,-,-,-,-,-,0.005,0.05,14,14
"Xylene, m-",108303,A,106.16,0.07,0.0000078,3.2,Koc,0,0,0.0052,0.21445206,8,158,-,-,2,1.6,0.7,-,-,-,FALSE,10,435,-,1,0.5,0.08,0.39,1.4,0.16,0.286510345,0.005,0.005,360,360
Cresol (-m),108394,AP,108.1,0.074,0.00001,1.94,Koc,0,0,0.000000443,1.82697E-005,0.08,25686.11144,-,-,0.05,0.025,-,-,-,-,FALSE,-,10,-,1,0.5,0.01,0.4,0.96,0.0091,0.037873749,0.01,0.66,49,49
Methyl cyclohexane,108872,O,92.2,0.0712,0.0000135,2.91,Koc,0,0,0.979,40.37472446,43,14,-,-,-,-,3,-,-,-,FALSE,-,1600,-,1,0.5,-,-,-,-,-,-,-,-,-
Toluene,108883,A,92.4,0.085,0.0000094,2.13,Koc,0,0,0.006304439,0.26,30,515,-,-,0.2,0.16,0.399999999,-,-,-,FALSE,1,147,-,70,0.5,0.045,0.32,0.77,0.054,0.159834535,0.002,0.005,28,28
Chlorobenzene,108907,AC,112.6,0.073,0.0000087,2.34,Koc,0,0,0.0037,0.152590889,11.8,472,-,-,0.02,0.0062,0.020000001,-,-,-,FALSE,0.1,350,-,450,0.5,0.041,0.43,1,0.069,0.15487261,0.002,0.005,300,300
Phenol,108952,AP,94.1,0.082,0.0000091,1.46,Koc,0,0,0.000000397,1.63623E-005,0.341,82800,10,-,0.6,0.54,2.1,-,-,-,FALSE,-,19,-,1,0.5,0.0055,0.33,0.79,0.0029,0.020103281,0.01,0.66,10,10
"Hexane, n-",110543,O,86.2,0.2,0.00000777,2.68,Koc,0,0,0.122,5.031375264,150,13,-,-,0.06,0.048,0.19985,-,-,-,FALSE,-,180,-,1,0.5,-,-,-,-,-,-,-,-,-
"Phthalate, bis(2-Ethylhexyl)",117817,O,391.07,0.0351,0.00000366,5.21,Koc,0,0,0.0000003,1.23722E-005,0.0000002,0.34304386,-,-,0.02,-,-,0.014,0.073684211,0.000004,TRUE,0.006,5,-,850,0.5,-,-,-,-,-,0.01,0.66,389,10
"Phthalate, di-n-octyl-",117840,O,390.6,0.036604093,4.02295E-005,5.042318506,Koc,0,0,1.80332E-010,7.43703E-009,1E-010,0.285,-,-,0.02,0.016,-,-,-,-,FALSE,-,-,-,1,0.5,-,-,-,-,-,0.01,0.66,28,28
